# x,y,z,vel.x,vel.y,vel.z
2.6095998,3.3192487,0.022149807,0.0009145839,0.0011632936,0.10090385
-3.092268,-5.5297346,0.987157,-0.01654842,-0.029592643,-0.021253644
-2.8072803,3.1118586,-1.5238801,0.03935742,-0.043627534,0.07179935
1.3126824,4.1280775,-1.8652782,-0.017754907,-0.05583501,0.05757845
5.314555,3.756615,-0.11130483,-0.0034148337,-0.0024137893,-0.032108195
-0.78815824,6.155903,1.5791337,-0.00547726,0.04278009,-0.009439372
-3.216764,-3.7420354,0.8863886,-0.034562025,-0.040205717,0.04328175
-4.118513,-2.5764816,-1.7432048,0.052972104,0.03313856,0.03873701
2.2958827,5.6987576,-1.5976263,-0.016645871,-0.041317776,-0.007973818
0.9078964,-4.131399,0.87796307,0.010424813,-0.047438305,0.08816409
-2.8982704,-4.5557942,0.06922791,-0.0025095178,-0.0039447146,0.010147144
0.46702692,4.7733974,-1.3685614,-0.006162965,-0.06299051,0.046578974
2.6506577,2.909096,-1.4644278,-0.036534414,-0.04009651,0.08235652
1.9638385,-4.4982796,-0.4149786,-0.011628146,0.026634898,0.048406154
2.9550226,4.8102455,-1.4954535,-0.028809214,-0.04689623,0.004919032
-1.685156,-4.237675,-1.7664192,0.022737676,0.057178624,0.051072773
4.2856035,-2.5906818,0.87010217,0.044631716,-0.026980232,0.03827776
-1.9764811,-5.847125,1.4544916,-0.01393216,-0.04121623,-0.010754663
3.0081267,-1.0776892,0.54167926,0.019179882,-0.0068713697,0.121982746
6.3417397,-2.6444824,0.45322365,0.011489926,-0.004791257,-0.030403463
-3.3914022,-0.6607532,1.1134365,-0.039428614,-0.0076819523,0.10475008
3.2727711,4.6510067,1.8550469,0.030368617,0.043157477,0.0066950754
3.5758178,2.5664918,-1.8841263,-0.047969483,-0.034429416,0.05468241
-0.041327808,3.640862,1.3860322,-0.0005418324,0.047734067,0.092386246
2.9219644,4.044909,0.81241643,0.02926069,0.040505923,0.039889492
-5.18625,0.18418933,1.8460842,-0.059600037,0.0021166902,0.024114149
5.0942836,2.490475,-0.038795188,-0.0021411567,-0.0010467604,-0.0072777187
6.404233,-0.42394388,1.3612998,0.037197575,-0.0024623843,-0.016189469
